date,time,timezone,username,tweet
17/04/2019,18:45:03,Eastern Daylight Time,12mil_,i felt this anxiety in my chest. im hollering!  https://twitter.com/richdollarz__/status/1118494316417232896 …
17/04/2019,18:45:03,Eastern Daylight Time,exhanny,Depression / anxiety / sociopath bi polar ? — Obviously not a sociopath  https://curiouscat.me/Haanny/post/850941803?t=1555541103 …
17/04/2019,18:45:01,Eastern Daylight Time,crvantage,Learn how to manage the symptoms of anxiety in children with these simple tips for helping your child cope with their anxiety:  https://buff.ly/2wwnpPT  #parents #mentalhealth #youth
17/04/2019,18:44:57,Eastern Daylight Time,unserious_sam,Because anxiety is an assassin
17/04/2019,18:44:57,Eastern Daylight Time,gabriel85795129,#StaysOpenUp ok i’ll make this quick so you can read others who are more important but i feel my anxiety getting worse almost everyday. i have anxiety attack more and more often without knowing what triggers them. being around unknown people scare me and make me self conscious+
17/04/2019,18:44:52,Eastern Daylight Time,diayeeetes,i start having anxiety everyday around 3pm I don’t know why i just shut down and can’t do anything. that’s cool i guess!
17/04/2019,18:44:52,Eastern Daylight Time,terayul,"With depression visiting less often, anxiety is trippin now that it doesnt have to share the space as often"
17/04/2019,18:44:51,Eastern Daylight Time,transsamsurrey,"I have been waiting so long to get my life on track that I almost forgot I had already done it. More to the point, I did it myself.  Nobody can ever take that away from me!  This time I am just going to keep my head in the here and now.   This time I beat anxiety 😊"
17/04/2019,18:44:51,Eastern Daylight Time,transsamsurrey,"I have already endured so much and improved my life exponentially, I really don’t feel that it’s worth worrying too much about what lies ahead. Yes, I’m a bit anxious about getting my treatment right. Fair enough really. However, I’m not going to let anxiety win this time. 7>"
17/04/2019,18:44:49,Eastern Daylight Time,_evelilith_,I got my hormone dosages changed last month and like my boobs are growing again but so is my overall level of anxiety so that's been fun
17/04/2019,18:44:48,Eastern Daylight Time,rogetdough,A blunt a day keeps the anxiety away.
17/04/2019,18:44:48,Eastern Daylight Time,transsamsurrey,"Anxiety: I have always just about managed to cope with my anxiety. It’s been a nagging thing at the back of my mind for the bulk of my life for one reason or another but, I do my thing. Laugh it off, put a big smile on or, simply bottle it up and push through 1>"
17/04/2019,18:44:32,Eastern Daylight Time,danrobmart,"Ugh, this is so spot on. 😂 I can’t shop there. Too much anxiety.👏🏻"
17/04/2019,18:44:31,Eastern Daylight Time,mallymalmall,i used to always say that i “forgot to breath” sometimes hahahahaha no sis that’s anxiety
17/04/2019,18:44:30,Eastern Daylight Time,cheybreeezy,i’ve tried a couple times but my anxiety kicks in and i feel like i’m about to fall so i stop but i believe skating is all mental . once i brush that mental scare of falling ill be able to skate pretty decent lol
17/04/2019,18:44:23,Eastern Daylight Time,wbrieanne,"I have it too! Honestly, my psychiatrist said it’s a form of anxiety."
17/04/2019,18:44:21,Eastern Daylight Time,aigisfricker,just had a massive anxiety attack over a 15 minute drive that was super easy and I’m early lol why am I like this 🤪🤪
17/04/2019,18:44:18,Eastern Daylight Time,tianaprice19,Anxiety so bad lately
17/04/2019,18:44:13,Eastern Daylight Time,vancryo,"Disorders such as anxiety, headaches, amnesia, Alzheimer's and many more can be prevented with just a little bit of maintenance on your part. Do yourself a favour, and come in for a Cryo session today!   http://bit.ly/Book_Cryo  #vancouverfitness #vanfitfam #vancouver #spa pic.twitter.com/OsJwu1A035"
17/04/2019,18:44:11,Eastern Daylight Time,minjung28622719,"Paalm 94:18-19 18  When I said, ""My foot is slipping,"" your love, O LORD, supported me.  19  When anxiety was great within me, your consolation brought joy to my soul."
17/04/2019,18:44:06,Eastern Daylight Time,gennytheartist_,me @ my anxiety  https://twitter.com/lifeofrickey/status/1118644173920276480 …
17/04/2019,18:44:01,Eastern Daylight Time,erin_pinegar,#coloradomentalhealth #mentalhealth #anxietyawareness #anxiety #anxietyquotes pic.twitter.com/2Utqsceo7K
17/04/2019,18:43:54,Eastern Daylight Time,cambria_bb27,Bro this anxiety from a fucking monster drink is so gnarly! Like no chill
17/04/2019,18:43:52,Eastern Daylight Time,georginacullen,"I poop my pants whenever a bulb goes, i can’t imagine the self-inflicted anxiety these people must go through for the sake of a perceived coolness... My rule of thumb is number plate in the window... probably a wanker. Shitty font on the Reg plate... probably a nobhead."
17/04/2019,18:43:52,Eastern Daylight Time,dietrichzach,"days it's hard not to blame myself for these actions. Maybe if I paid attention to my mental health earlier in life I wouldn't be losing these battles, but the past is the past and all I can do is move forward. #MentalHealthMatters #MentalHealthAwareness #anxiety #bipolardisorder"
17/04/2019,18:43:52,Eastern Daylight Time,dietrichzach,"myself back in reality, but it was an uphill battle I was losing. Eventually I gave in and drove home defeated once again. Three hours later and my anxieties still hold my reality in their claws. My therapist tells me to tell myself it's not my fault it's just chemicals, but most"
17/04/2019,18:43:50,Eastern Daylight Time,probablyelisa,found a five leaf clover today I think they give you anxiety not luck  pic.twitter.com/BIH2AxtC9V
17/04/2019,18:43:44,Eastern Daylight Time,riordainn,Think of how much that would decrease everyone's blood pressure and anxiety lol
17/04/2019,18:43:43,Eastern Daylight Time,spacecowbebop,"I've started pacing again lately, which I realized at 19 is a symptom of my increased anxiety and high pressure situations. It's never failed me before though with coming up with unconventional solutions to life's obstacles."
17/04/2019,18:43:33,Eastern Daylight Time,daydreameralina,Lewis mysterious announcement posts all the time are really NOT helping my anxiety
17/04/2019,18:43:30,Eastern Daylight Time,mixersfire,"i did a similar thing on wattpad where i wrote as if i was perrie. i talked about her struggles, without knowing at the time that she had anxiety, and the things she says matches what i’ve written. it’s like i could sense that she wasn’t okay. her smile couldn’t beam forever ukno"
17/04/2019,18:43:25,Eastern Daylight Time,jpsmjournal,"Prevalence, Severity and Correlates of Symptoms of Anxiety and Depression at the Very End of Life  http://bit.ly/2IGrjNF "
17/04/2019,18:43:19,Eastern Daylight Time,allexxsmiles,15. just finish whatever is stressing you out if it’s school work or something like that :)) if it’s anxiety try watching youtube videos and distracting urself
17/04/2019,18:43:14,Eastern Daylight Time,turbanheart,Trying to ignore your anxiety and remain positive heading into Game 4 as a Leafs fan. #LeafsForever #NHLPlayoffs #BOSvsTOR #DangleNavy pic.twitter.com/zOnLTKf1qM
17/04/2019,18:43:10,Eastern Daylight Time,miastavar,i took two anxiety meds for this??
17/04/2019,18:43:08,Eastern Daylight Time,walkerhensley3,me: what a cool person I should talk to them anxiety: sike nigga u thought I just put yo shit in panic mode
17/04/2019,18:43:07,Eastern Daylight Time,rogetdough,Social anxiety seriously sucks because you’re scared to talk to people but at the same time you’re also dying to talk to people
17/04/2019,18:43:01,Eastern Daylight Time,skeletxncliqxe,|| Sorry to everyone I haven’t replied to.. I have new neighbors and of course idk them or if my near constant playing of music will bother them so I’m having an anxiety attack. I saw them moving in and I got a bad vibe from them almost immediately.
17/04/2019,18:42:56,Eastern Daylight Time,thegcducksfan,"Despite the stress and anxiety, had such a blast these past few days with friends painting the HC ice and then skating on it right before they melt it all down. Thanks to my dear friends…  https://www.instagram.com/p/BwX7L5BgBRK/?utm_source=ig_twitter_share&igshid=18q0m2ee53gmj …"
17/04/2019,18:42:53,Eastern Daylight Time,scmciafiin,"Some people aren’t particularly lazy. I get quite overwhelmed with a lot of DMs, so it takes me a few days to get to them. And I feel bad if I don’t get to them in a few days and then my anxiety hits me. It sucks lmao."
17/04/2019,18:42:49,Eastern Daylight Time,malfoysiupin,i hate tweeting about myself lol but this account gives me mad anxiety n idk what to do about it cos i like tweeting fandom stuff but :/
17/04/2019,18:42:38,Eastern Daylight Time,loveskiyoko,Suggestions for anxiety coping mechanisms???
17/04/2019,18:42:35,Eastern Daylight Time,swanmegankate,I also do that. Why give someone that millennial phone call anxiety 🤷🏼‍♀️
17/04/2019,18:42:30,Eastern Daylight Time,wchrisg0528,Higher anxiety #WorriedFilmsOrShows
17/04/2019,18:42:25,Eastern Daylight Time,becca_whitesell,"I hate when people say “I have a question for you” like bruh. Just ask it, don’t be getting my anxiety levels all high for 5 minutes until you respond"
17/04/2019,18:42:22,Eastern Daylight Time,aaashley_s,i get anxiety for the stupid shit it’s so annoying
17/04/2019,18:42:17,Eastern Daylight Time,finlylem,Driving gives me a lot of anxiety and I'm glad I'm not being insulted for it
17/04/2019,18:42:16,Eastern Daylight Time,smilingjeon,feel like a moots tweet is aimed at me but like I hope it isnt but what if they see this? I have lots of mutuals tbf so like? What if they do see this and it was actually aimed at me? I'm scared I hope it's not I'm a nice person :(( im also very bad anxiety if you cant tell sksks
17/04/2019,18:42:16,Eastern Daylight Time,greenjetstar,anxiety is so fucking exhausting
17/04/2019,18:42:16,Eastern Daylight Time,jealousminhyuk,I HAVE EXAM ANXIETY AND MY EXAM STARTS IN WHAT FOUR HOURS
17/04/2019,18:42:15,Eastern Daylight Time,nnnnock,gr*ndr is suuuper hard to use when you have social anxiety holy fuck
17/04/2019,18:42:13,Eastern Daylight Time,profedelstein,"me: oh gosh, I have a lot of important things to do! I'm stressed! anxiety: I hear you, but I feel like we should throw some nausea and a headache into the mix me: wat but tha- anxiety: shhh, shhhh. headache. nausea."
17/04/2019,18:42:12,Eastern Daylight Time,ash_kaprielov,Do you love or hate rollercoasters? — I used to love them. But about 5 years ago my anxiety conquered me so I am no longer available to enjoy them.  https://curiouscat.me/I_8_yer_grandma/post/850940083?t=1555540932 …
17/04/2019,18:42:04,Eastern Daylight Time,psychologytip,Break Free of Your Anxiety and Phobias in 4 Simple Steps  https://psychcentral.com/blog/break-free-of-your-anxiety-and-phobias-in-4-simple-steps/ …
17/04/2019,18:42:02,Eastern Daylight Time,id_counseling,Break Free of Your Anxiety and Phobias in 4 Simple Steps  http://dlvr.it/R31md1  pic.twitter.com/rO5wNijdsV
17/04/2019,18:42:01,Eastern Daylight Time,aladetteinsane,❤️❤️❤️💕💕💕 #mentalillness #mentalhealth #depression #anxiety #personalitydisorder #selfharm #recovery #mentalhealthdisorder #mentalhealthawareness #advice #support #schizophrenia #positivity #selfcare #selflove…  https://www.instagram.com/p/BwX7FQinxFk/?igshid=pwq11orws2on …
17/04/2019,18:41:58,Eastern Daylight Time,kiera_mustola,Anxiety on 10
17/04/2019,18:41:57,Eastern Daylight Time,k0smick,"It is true. This is not about the reality of the situation though, and more about the emotional response it triggers for me. I think it is very linked to my social anxiety"
17/04/2019,18:41:48,Eastern Daylight Time,dr_mcwho,"Super appreciative of the reality check that in fact men will only want to get something out of me. Also, he’s not staying with me we meet up at his hotel cause of my dogs anxiety  pic.twitter.com/jKCQVOGMwe"
17/04/2019,18:41:43,Eastern Daylight Time,neauoire,Such a gorgeous track and visually mesmerizing patch. I'm glad to hear that orca helps you with your anxiety—
17/04/2019,18:41:43,Eastern Daylight Time,istayfr3shhh,Anxiety
17/04/2019,18:41:41,Eastern Daylight Time,blewis2080,"When I was younger, I never really had storm anxiety.  Then I bought a house...  Now I have storm anxiety."
17/04/2019,18:41:39,Eastern Daylight Time,sole_man96,"@AlexiLalas @StatManMosse Regarding the state of the union discussion on taking the training wheels off. For those markets that lose interest, would promotion/relegation inspire more interest with the increased anxiety over going up or down? #AskAlexi"
17/04/2019,18:41:37,Eastern Daylight Time,oviedoattorney,"Nearly 20% of the US population battles with stress and anxiety, with not having enough ""me time"" to process or wind down from the world at large. One recent study from the UK says taking a few minutes each day to watch the birds outside can really help.  https://bit.ly/2ZhXEAp  pic.twitter.com/K5QbC8YtOW"
17/04/2019,18:41:35,Eastern Daylight Time,bern_wolfe,As it was Bernies first family meal since being back she was finding hard to settle back in so she also stayed quite and ate the food. The blonde was suffering with anxiety so her mind was telling her that they was judging her as she was covered in a few cuts and bruises
17/04/2019,18:41:29,Eastern Daylight Time,base2wave,"Last at the office again. Struggling not to have a full on panic/anxiety attack at the abrupt shift in project direction and scope that happened today. I know it will be a good thing, I just need some stability and this shifting sands make me feel hyper uneasy."
17/04/2019,18:41:24,Eastern Daylight Time,vinerythedoodl1,"hey girl that sits behind me in science. fuck off. don’t talk shit about people with ADHD if you don’t go through the side affects of anxiety, depression, and sleep deprivation. saying im gonna ‘gET oVeR iT’. wtf."
17/04/2019,18:41:23,Eastern Daylight Time,cimoukhuede,Boeing 737 Max8 on my mind. Just landed Columbus airport from Dallas on the aircraft. Trepidation and anxiety combined until the flight touched down. Thank God.
17/04/2019,18:41:16,Eastern Daylight Time,otteamlgh,How does anxiety affect u? What can u do? Want to learn some coping skills? Need help to get started? Come and join us at the Acute Recovery College @ LGH. Today's session was on anxiety but it changes each week depending on wot is wanted. #wellbeingwednesday #Mindfulbreathing pic.twitter.com/XBeAT6c4ZC
17/04/2019,18:41:14,Eastern Daylight Time,rvoronacote,"I have perhaps made a bigger mess than I had when I began, but I have finally, after so many tears and headaches and anxiety attacks, overhauled the third chapter of my book."
17/04/2019,18:41:11,Eastern Daylight Time,jahfeelss,Anxiety
17/04/2019,18:41:11,Eastern Daylight Time,iamnatantofu,Like why tf do you embarrass your child like that when it's blatantly obvious that she has social anxiety?
17/04/2019,18:41:10,Eastern Daylight Time,squishgrens,What's the longest you've gone without sleep (and why)? — 2 days and because of anxiety  https://curiouscat.me/squishgrens/post/850939124?t=1555540869 …
17/04/2019,18:41:09,Eastern Daylight Time,moonyg96,for everybody saying bullying is not serious: anxiety rising from these episodes made me develop chronic migraines and my overall health turned shit in the span of a month. There were days when I couldn't last more than an hour at school before needing to go back home because -
17/04/2019,18:41:00,Eastern Daylight Time,walkswithbuddy,Buddy & Dash with today’s adventures reached 300 streets total! Raising awareness and funds for Mental health & Suicide Prevention. #NBCCT ⁦@DarrenSweeney⁩ ⁦@HeidiVoight⁩ ⁦@TedKoppyNBC⁩ ⁦@Walkswithbuddy⁩ 1 in 5 have mental health challenges 1 in 3 anxiety  pic.twitter.com/74icVHLqQ8
17/04/2019,18:40:56,Eastern Daylight Time,kc_kitzman,my fav thing about wearing a dress to work is watching everyone around me crumble with anxiety under the broken gender expectations
17/04/2019,18:40:53,Eastern Daylight Time,magiteknology,we're watching episode 8 and i csnt stop thinking ab that anon someone got pretending to be adam driver having an anxiety attack bc the user called him ugly WKDGWKFHWKEHSKHD
17/04/2019,18:40:47,Eastern Daylight Time,glowhyena85,Anxiety is such an evil. :c
17/04/2019,18:40:37,Eastern Daylight Time,myoongbby,My anxiety rn :D
17/04/2019,18:40:27,Eastern Daylight Time,alphashadow200,When you listen to the Dear Evan Hansen soundtrack again and feel that good anxiety
17/04/2019,18:40:21,Eastern Daylight Time,jordanmd2k18,Im only 19 & i feel anxiety gets the best of me sometimes
17/04/2019,18:40:19,Eastern Daylight Time,legayseries,my anxiety is through the mf roof rn
17/04/2019,18:40:15,Eastern Daylight Time,aussieactivist,"Be happy, go dancing, sing karaoke, think clearly & enjoy life in the moment without the anxiety of wondering if ill end up triggered into a borderline rage ☺  https://twitter.com/_RainbowKandy/status/1118633771367116800 …"
17/04/2019,18:40:13,Eastern Daylight Time,atrashcan6,I met a #ARMY at the store today and she was so sweet I hesitated to go up to her because of social anxiety but I'm so glad I did lol we didn't even tell each other our names we just talked about @BTS_twt 😂💜 pic.twitter.com/9LVhqG1L2h
17/04/2019,18:40:12,Eastern Daylight Time,dheracing,"Depression, anxiety and PTSD are very real. I would like five of my friends to post this (not share) so I know who I can talk too if I ever need someone...."
17/04/2019,18:40:12,Eastern Daylight Time,powercade,Fighting off a building anxiety attack by deep cleaning the apt. Goal: by the end of the day i will be exhausted and accomplished and the apt will be sparkling
17/04/2019,18:40:08,Eastern Daylight Time,lovaticohara,I am not entirely sure why I  tweeted this I thought it was a poll but I am tipsy and I am telling myself no one is online bc no one has replied in two minutes my god I am LAME (prob due to my overwhelming anxiety and I need to calm tf down) lol
17/04/2019,18:40:01,Eastern Daylight Time,spicycorbyn,I hate having social anxiety
17/04/2019,18:39:59,Eastern Daylight Time,reikiman08,"Sending positive energy your way! I deal with severe anxiety and depression myself, I know how much it sucks when your in that dark place."
17/04/2019,18:39:56,Eastern Daylight Time,alllexdrago,you ever have that anxiety feeling of wanting to throw up but not actually having the physical symptoms of it there’s just a pit in your stomach and your heart is in your throat  that’s how I feel when I get old acrylics taken off ☠️
17/04/2019,18:39:50,Eastern Daylight Time,projpatsummitt,Hockey and an anxiety attack
17/04/2019,18:39:48,Eastern Daylight Time,rabtdog,Anxiety Of Green Gables #WorriedFilmsOrShows
17/04/2019,18:39:47,Eastern Daylight Time,satansmoonbat,Fucking typical just as I’m about to try & sleep my anxiety flares up & I don’t even know why.
17/04/2019,18:39:46,Eastern Daylight Time,zacharywefel,"I’m a huge MS fan, but several episodes have been extra anxiety inducing because of the 2016 election and the current president.  It’s more and more difficult to watch."
17/04/2019,18:39:45,Eastern Daylight Time,randilynne89,"Honestly, it was the worst anxiety attack I’ve ever had. Thank you, Paige ❤️I appreciate it so much"
17/04/2019,18:39:42,Eastern Daylight Time,getsummoneyhoe,Y’all have no idea how hard i work on my anxiety daily it took me 3 years to pull myself outta depression ... I never knew losing one of my closest friends could feel like this im just praying i can keep my spirits up this shit is so fucking hard
17/04/2019,18:39:39,Eastern Daylight Time,philckd,I have done that a lot ever since i got help for anxiety/depression last year. So many people have told me to get helped and i wished i listened sooner. Now i need to look forward because i havent felt this good in a long time.
17/04/2019,18:39:37,Eastern Daylight Time,260593grande,Do u guys hav any advice for dealing with mental health + anxiety :(
17/04/2019,18:39:31,Eastern Daylight Time,midnightcv,and i have anxiety and OCD so i wash my hands a lot and they're always red and raw. people look at my hands and are like what's wrong with them. it makes me super uncomfortable and embarrassed.
17/04/2019,18:39:27,Eastern Daylight Time,vanillabailey,im literally shaking with anxiety but this always helps  pic.twitter.com/zanrzeMjL8
17/04/2019,18:39:24,Eastern Daylight Time,sweet_tooth19,I understand. Traveling is fun but there’s a lot of anxiety that goes with it.
17/04/2019,18:39:23,Eastern Daylight Time,fearoffreedom,"Japan asks US troops to behave, not ‘cause anxiety’ after marine kills local girlfriend & self — RT World News  https://www.rt.com/news/456770-japan-americans-behave-okinawa/ …"
17/04/2019,18:39:22,Eastern Daylight Time,theonlyabygail,"On campus a lama hugged me and gave me a “kiss” on my cheek today. Then i was told he was emotional support lama. So I’m guessing he knew i have anxiety cause he wouldn’t do it to everyone, so yes now i need a lama in my life. 😢"
17/04/2019,18:39:19,Eastern Daylight Time,notorious_jsm,I feel like my anxiety just shot up and idk why..... wtf is going on
17/04/2019,18:39:12,Eastern Daylight Time,fake_glitch,i definitely probably Need medical marijuana for anxiety  BuT
17/04/2019,18:39:09,Eastern Daylight Time,mr_meoff,"Checks email.  Progressive: We’ll take your monthly payment on Monday.  Me: Fuck... fuck..... ermmm  Gets a Text.  Progressive: Reminder, we’ll apply your payment in a few days. *anxiety intensifies*  pic.twitter.com/LZ4B5H8M4s"
17/04/2019,18:39:07,Eastern Daylight Time,nicholette121,"If that PT can be worked out for the weekend so I have time to get there after work on a Friday and be back at work Monday I will gladly pay 2/3rd the rate...as an idea...  but I totally get it, I don't want you to feel forced and I don't want to cause anxiety."
17/04/2019,18:39:07,Eastern Daylight Time,stesheadspace,Hope your anxiety has settled.
17/04/2019,18:39:00,Eastern Daylight Time,mickey_tobin,Have to play OUR attacking football. If we play this occasional defensive 2-4-4 were screwed. Liverpool attack is too powerful. We play our game and we are looking good. Gonna be lots of anxiety lol. Two weeks away and I’m already anxious
17/04/2019,18:38:51,Eastern Daylight Time,jess__ez,so much is going on holy shit I have ANXIETY
17/04/2019,18:38:51,Eastern Daylight Time,leafsweetie,Thanks I hope so! I always get anxiety once I book.  No idea why lol
17/04/2019,18:38:49,Eastern Daylight Time,prettymaay,I have the worse anxiety 🤦🏾‍♀️
17/04/2019,18:38:44,Eastern Daylight Time,brunette_bruin,😂😂😂😂 gunna have to think of a better thing to take a shot too that’s not enough for this anxiety
17/04/2019,18:38:40,Eastern Daylight Time,br1__anna,Cracking every bone I possibly could in my hands & fingers is a horrible anxiety habit
17/04/2019,18:38:37,Eastern Daylight Time,original_gio,"Anxiety attack, yup"
17/04/2019,18:38:36,Eastern Daylight Time,wingedwulfie,"dude, I love the idea of donating blood, but OH MY GOODNESS DOES IT GIVE ME SO MUCH ANXIETY"
17/04/2019,18:38:34,Eastern Daylight Time,ezra_kk77,This gave me anxiety
17/04/2019,18:38:27,Eastern Daylight Time,joredbone,Good Lord. Panic and anxiety exaggerate much?
17/04/2019,18:38:27,Eastern Daylight Time,conortist,the way in which you are holding your phone gives me anxiety. the slippage potential.
17/04/2019,18:38:22,Eastern Daylight Time,maria4wdw,OK SO I’M GOING TO DIE THERE WAS THIS GUY TAKING A PICTURE OF HIS CAR IN THE PARKING LOT AND I WAS LOOKING AT HIM BCZ HE WAS CUTE AND THEN HE LOOKED UP AND SAW ME AND THEN HE TURNED AROUND AND LOOKED AT ME AGAIN WHEN I LOOK LIKE AN EGG WHAT IS MY LUCK anxiety: 𝓇ℴ𝒸𝓀ℯ𝓉ℯ𝒹
17/04/2019,18:38:13,Eastern Daylight Time,manon97413484,"It's for the greater good to always try and help others, but, not at the cost of your own health, safety & emotional well-being. There's balance to be found. #depression #MentalHealthMatters #anxiety ☔🌈"
17/04/2019,18:38:11,Eastern Daylight Time,positivesengoku,"Stranger anxiety is a strong force...but do not fret! You are strong, and I believe in you! We can conquer it together ♪"
17/04/2019,18:38:02,Eastern Daylight Time,khan_leema,Will this cover up my crippling depression and anxiety? 🤔
17/04/2019,18:37:57,Eastern Daylight Time,ashuping,having an anxiety attack. awesome.
17/04/2019,18:37:56,Eastern Daylight Time,stephgingrichsg,"By the way, great power carries with it great responsibility, and great responsibility entails a large amount of anxiety. I'm glad you told me. I guess this is just evolution? Some people are smarter, faster or stronger than other... You can read minds, ok.""+"
17/04/2019,18:37:49,Eastern Daylight Time,larkbrains,I’m spending almost all waking hours masking autistic traits and anxiety and stomping pending meltdowns and panic attacks back into my gut without letting it show on my face -multiple times a day-
17/04/2019,18:37:42,Eastern Daylight Time,hayleestrawser,Nothing pisses me off more than when I try to talk to my mom about my anxiety and I just get ignored like oh fucking kay
17/04/2019,18:37:35,Eastern Daylight Time,red99275670,“but atleast you show yours most people who don’t show their  faces on sites like this probably suffer from anxiety and maybe that’s why they don’t show there faces! think about it
17/04/2019,18:37:33,Eastern Daylight Time,trademarktbs,"I wish everyone knew this 50 years ago when I was little...I was having anxiety back then and I still have it today, but as a child it severely affected me  https://awarenessact.com/children-wont-say-they-have-anxiety-they-say-my-stomach-hurts/ …"
17/04/2019,18:37:29,Eastern Daylight Time,wnypasquale,"As if the anxiety of waiting on the #Bills schedule isn’t enough, try being at @TedsHotDogs around people that don’t know how to order. 🙄🙄🙄 #GoBills #NFLScheduleRelease #Buffalolife #Marks"
17/04/2019,18:37:26,Eastern Daylight Time,ma1r3ad,Good on Perrie for talking about Anxiety and Panic Attacks so openly and removing stigma. I had my last panic attack in February.  https://twitter.com/popbuzz/status/1118551246754000898 …
17/04/2019,18:37:26,Eastern Daylight Time,bossyladysunday,"Hey thank y’all for responding. My view is that it’s OK not being OK because it’s part of life. I’m not alone and I am so very grateful for all of you, as well as my home Tribe. Not being able to breathe which leads to not sleeping (all caused by anxiety) is taking a toll."
17/04/2019,18:37:25,Eastern Daylight Time,thereal65835582,Why thank you. She was mad about that and she was mad because I keep saying that she WANTED Rinna to go after Kim because secretly she wanted to go after Kim. Guess her anxiety couldnt handle it 🤣🤣
